"|","|__writer_name","|__pub_date","|__snippet","|__word_count","|__score","|__source","|__section_name","|__type_of_material","|__document_type","|__main_headline","|__print_headline"
"https://www.nytimes.com/2000/12/20/world/tough-sanctions-imposed-on-taliban-government-split-un.html","Barbara Crossette","2000-12-20","Security Council, led by United States and Russia, imposes harsh new sanctions on Taliban government of Afghanistan, leaving United Nations profoundly split over damage measures could inflict on one of world's poorest nations; Sec Gen Kofi Annan e...","901","null","The New York Times","World","News","article","Tough Sanctions Imposed on Taliban Government Split U.N.","Tough Sanctions Imposed on Taliban Government Split U.N."
"https://www.nytimes.com/2000/08/26/business/business-digest-853879.html","null","2000-08-26","","423","null","The New York Times","Business Day","Summary","article","BUSINESS DIGEST","BUSINESS DIGEST"
"https://www.nytimes.com/2000/03/20/business/technology-netscape-browser-faces-a-changed-world.html","Saul Hansell","2000-03-20","Netscape Communications prepares to roll out first major upgrade of its Internet browser since Aug 1997; parent, America Online, sees brower as key to series of interactive consumer services, with many of new browser features tied to AOL strengths...","1249","null","The New York Times","Business Day","News","article","Netscape Browser Faces a Changed World","TECHNOLOGY; Netscape Browser Faces a Changed World"
"https://www.nytimes.com/2000/09/12/business/documents-indicate-ford-knew-of-engine-defect-but-was-silent.html","Stephen Labaton","2000-09-12","Ford Motor Co documents show array of company officials were aware during 1980's and 1990's of problems with computerized car ignition systems that would make engines stall if they became too hot, even though they reassured customers who complaine...","2343","null","The New York Times","Business Day","News","article","Documents Indicate Ford Knew Of Engine Defect but Was Silent","Documents Indicate Ford Knew Of Engine Defect but Was Silent"
"https://www.nytimes.com/2000/12/09/world/nebraska-at-last-gets-a-visit.html","Marc Lacey","2000-12-09","Pres Clinton visits Nebraska, the only state he had not yet visited during his presidency (S)","338","null","The New York Times","World","News","article","Nebraska, At Last, Gets a Visit","Nebraska, At Last, Gets a Visit"
"https://www.nytimes.com/2000/09/17/world/israel-ponders-constitution-with-head-throbbing.html","Deborah Sontag","2000-09-17","Most of senior Israeli academics and political figures who have been debating fine points of possible constitution for two years dismiss Prime Min Ehud Barak's surprise proposal as prescription for failure; hold issues are too loaded, Israeli soci...","1256","null","The New York Times","World","News","article","Israel Ponders Constitution With Head Throbbing","Israel Ponders Constitution With Head Throbbing"
"https://www.nytimes.com/2000/12/08/business/technology-motorola-issues-another-profit-and-sales-warning.html","Barnaby Feder","2000-12-08","Motorola says it expects to earn just 15 cents a share in current quarter because of sharply reduced demand for its semiconductors and continuing profit margin erosion in its cell phone business (M)","856","null","The New York Times","Business Day","News","article","Motorola Issues Another Profit and Sales Warning","TECHNOLOGY; Motorola Issues Another Profit and Sales Warning"
"https://www.nytimes.com/2000/10/02/business/about-the-tables.html","null","2000-10-02","New York Times is set to temporarily introduce second business section, World Business, on Tuesdays through Fridays; section will consist of international business news and tables for United States exchanges plus preferred stocks","181","null","The New York Times","Business Day","Editors' Note","article","About the Tables","About the Tables"
"https://www.nytimes.com/2000/08/11/technology/electronic-arts-plans-potter-games.html","null","2000-08-11","August 11, 2000","333","null","The New York Times","Technology","News","article","Electronic Arts Plans Potter Games","Electronic Arts Plans Potter Games"
"https://www.nytimes.com/2000/10/15/business/private-sector-promoting-the-flea-market-system.html","Tanya Mohn","2000-10-15","Jerry Stokes, founder of National Flea Market Association, will hold seminars for 200 members (S)","119","null","The New York Times","Business Day","News","article","Promoting the Flea Market System","PRIVATE SECTOR; Promoting the Flea Market System"
"https://www.nytimes.com/2000/02/02/business/international-business-thais-being-asked-to-dig-out-savings-and-buy-bonds.html","Wayne Arnold","2000-02-02","Thais are being asked to dig out savings and buy government bonds to rescue country's banking system and return to economic health; Thailand had savings rate of 41.8 percent in 1998, one of highest in Asian region; graph (M)","706","null","The New York Times","Business Day","News","article","Thais Being Asked to Dig Out Savings and Buy Bonds","INTERNATIONAL BUSINESS; Thais Being Asked to Dig Out Savings and Buy Bonds"
"https://www.nytimes.com/2000/03/31/business/company-news-ogden-agrees-to-sell-concessions-business-to-aramark.html","Bridge News","2000-03-31","Ogden Corp agrees to sell its food and beverage concessions business to employee-owned Aramark Corp for $225 million in cash and $11 million in assumed debt (S)","95","null","The New York Times","Business Day","News","article","OGDEN AGREES TO SELL CONCESSIONS BUSINESS TO ARAMARK","COMPANY NEWS; OGDEN AGREES TO SELL CONCESSIONS BUSINESS TO ARAMARK"
"https://www.nytimes.com/2000/10/18/technology/survey-finds-support-for-school-filters.html","null","2000-10-18","The overwhelming majority of Americans say schools should install filters to block students from accessing pornography and hate speech, according to a new national survey commissioned by the Digital Media Forum.","872","null","The New York Times","Technology","News","article","Survey Finds Support for School Filters","Survey Finds Support for School Filters"
"https://www.nytimes.com/2000/08/24/business/markets-market-place-home-heating-oil-prices-surge-sudden-drop-inventories.html","Jonathan Fuerbringer","2000-08-24","Surveys by American Petroleum Institute and US Energy Information Administration show sudden drop in crude oil inventories, sending home heating oil prices to their highest in a decade; on New York Mercantile Exchange, price of crude oil for Octob...","990","null","The New York Times","Business Day","News","article","THE MARKETS: Market Place; Home Heating Oil Prices Surge on Sudden Drop in Inventories","THE MARKETS: Market Place; Home Heating Oil Prices Surge on Sudden Drop in Inventories"
"https://www.nytimes.com/2000/12/09/business/german-exchange-plans-internet-portal.html","Bloomberg News","2000-12-09","Deutsche Borse, parent company of Frankfurt Stock Exchange, plans to start Internet site to provide financial information for private investors that more closely resembles information available to institutional investment professionals (M)","149","null","The New York Times","Business Day","News","article","German Exchange Plans Internet Portal","German Exchange Plans Internet Portal"
"https://www.nytimes.com/2000/12/02/business/group-to-buy-controlling-interest-in-datek-online-for-700-million.html","David Barboza","2000-12-02","Group of private investors agrees to pay $700 million for controlling stake in Datek Online, Internet stock brokerage company (M)","497","null","The New York Times","Business Day","News","article","Group to Buy Controlling Interest in Datek Online for $700 Million","Group to Buy Controlling Interest in Datek Online for $700 Million"
"https://www.nytimes.com/2000/07/29/business/company-news-mp3com-settles-music-suit-with-emi-group-unit.html","Bloomberg News","2000-07-29","MP3.com settles copyright infringement suit with EMI Group PLC; details are not provided (S)","96","null","The New York Times","Business Day","News","article","MP3.COM SETTLES MUSIC SUIT WITH EMI GROUP UNIT","COMPANY NEWS; MP3.COM SETTLES MUSIC SUIT WITH EMI GROUP UNIT"
