"|","|__writer_name","|__pub_date","|__snippet","|__word_count","|__score","|__source","|__section_name","|__type_of_material","|__document_type","|__main_headline","|__print_headline"
"https://www.nytimes.com/2003/07/10/technology/the-new-card-shark.html","Peter Wayner","2003-07-10","Online poker contributes to skill of players, including Chris Moneymaker, who, with no tournament experience, won $2.5 million in World Series of Poker; fees for online games are significantly lower and players are not deterred by physical element...","2099","null","The New York Times","Technology","News","article","The New Card Shark","The New Card Shark"
"https://www.nytimes.com/2003/04/06/world/hong-kong-hospitals-struggle-as-disease-cases-rise-quickly.html","Keith With","2003-04-06","New respiratory disease spreads further in Hong Kong, with sharp jump in new cases and three more deaths; hospitals struggle to cope with growing burden; more hospital nurses and doctors are falling ill (M)","584","null","The New York Times","World","News","article","Hong Kong Hospitals Struggle as Disease Cases Rise Quickly","Hong Kong Hospitals Struggle as Disease Cases Rise Quickly"
"https://www.nytimes.com/2003/04/22/business/earnings-at-3m-are-up-11.html","Bloomberg News","2003-04-22","","299","null","The New York Times","Business Day","News","article","Earnings at 3M Are Up 11%","Earnings at 3M Are Up 11%"
"https://www.nytimes.com/2003/10/31/international/asia/asias-longest-serving-ruler-steps-down-after-22-years.html","Jane Perlez","2003-10-31","Mahathir Mohamed stepped down today, leaving a legacy of a modern Muslim nation that he molded with often autocratic rule.","1239","null","The New York Times","World","News","article","Asias Longest Serving Ruler Steps Down After 22 Years","Asias Longest Serving Ruler Steps Down After 22 Years"
"https://www.nytimes.com/2003/12/29/world/5-afghan-officers-are-killed-in-attack-as-assembly-meets.html","Carlotta Gall","2003-12-29","Suicide bomber kills five Afghan intelligence officers and himself near Kabul airport, casting shadow of concern over loya jirga, grand assembly meeting in Kabul to approve new constitution for Afghanistan; two suspected accomplices of bomber esca...","786","null","The New York Times","World","News","article","5 Afghan Officers Are Killed In Attack as Assembly Meets","5 Afghan Officers Are Killed In Attack as Assembly Meets"
"https://www.nytimes.com/2003/11/30/business/edgar-bronfman-jr-s-backup-band.html","Andrew Sorkin","2003-11-30","Article on $2.6 billion buyout of Warner Music led by Edgar Bronfman Jr; Bronfman, Thomas H Lee, whose Thomas H Lee Partners played key role in deal and put $650 million of own money into it, and Scott M Sperling, Lee partner who led deal for firm...","2039","null","The New York Times","Business Day","News","article","Edgar Bronfman Jr.'s Backup Band","Edgar Bronfman Jr.'s Backup Band"
"https://www.nytimes.com/2003/04/18/business/flow-of-money-to-stock-funds-is-most-in-a-year.html","Jonathan Fuerbringer","2003-04-18","AMG Data Services says stock mutual funds had net inflow of $5.7 billion in week ended April 16; holds $1 billion went into aggressive growth funds and $472 million into technology funds; says domestic equity funds attracted $4 billion, with $1.1 ...","431","null","The New York Times","Business Day","News","article","Flow of Money to Stock Funds Is Most in a Year","Flow of Money to Stock Funds Is Most in a Year"
"https://www.nytimes.com/2003/05/03/world/aftereffects-nation-s-future-us-now-battle-for-peace-after-winning-war-iraq.html","Dexter Filkins","2003-05-03","American troops, having won war in Iraq, are straining to manage anger, frustration and competing ambitions of nation long suppressed by Saddam Hussein; new politicial parties, Kurds and Shiite religious groups are asserting virtual governmental a...","2563","null","The New York Times","World","News","article","U.S. Is Now in Battle for Peace After Winning the War in Iraq","AFTEREFFECTS: A NATION'S FUTURE; U.S. Is Now in Battle for Peace After Winning the War in Iraq"
"https://www.nytimes.com/2003/03/25/business/technology-briefing-hardware-conexant-will-spin-off-mindspeed-unit.html","Bloomberg News","2003-03-25","Conexant Systems Inc will spin off its unprofitable Mindspeed Technologies business, which makes semiconductors for Internet equipment; Mindspeed will receive $150 million in cash from Conexant in initial capital and contigent financing (S)","175","null","The New York Times","Business Day","News","article","Technology Briefing | Hardware: Conexant Will Spin Off Mindspeed Unit","Technology Briefing | Hardware: Conexant Will Spin Off Mindspeed Unit"
"https://www.nytimes.com/2003/06/19/business/rank-group-plans-hard-rock-s-growth.html","Dow Jones","2003-06-19","Rank Group is expanding its Hard Rock Hotels concept across Europe and Americas through joint venture with Sol Melia of Spain; plans to develop city and resort hotels; Becker Ventures is providing $1 billion to finance development of hotels (S)","213","null","The New York Times","Business Day","News","article","Rank Group Plans Hard Rock's Growth","Rank Group Plans Hard Rock's Growth"
"https://www.nytimes.com/2003/11/11/business/us-tariffs-on-steel-are-illegal-world-trade-organization-says.html","Elizabeth Becker","2003-11-11","World Trade Organization rules steel tariffs imposed by Pres Bush in 2002 are illegal, clearing way for European Union to impose over $2 billion in sanctions on imports from United States unless US quickly drops duties; Bush must now choose betwee...","1285","null","The New York Times","Business Day","News","article","U.S. Tariffs on Steel Are Illegal, World Trade Organization Says","U.S. Tariffs on Steel Are Illegal, World Trade Organization Says"
"https://www.nytimes.com/2003/04/23/world/despite-birth-bonuses-zoroastrians-in-india-fade.html","Amy Waldman","2003-04-23","Parsis, followers of prophet Zarathustra and descendants of Persians who took refuge in India millennium ago, seem to be dwindling despite bonuses paid by community to families that have third child; Parsis, especially in Bombay, are educated, urb...","1096","null","The New York Times","World","News","article","Despite Birth Bonuses, Zoroastrians in India Fade","Despite Birth Bonuses, Zoroastrians in India Fade"
"https://www.nytimes.com/2003/03/12/news/east-germans-hanker-after-bygone-things.html","Nora Fitzgerald","2003-03-12","","1549","null","The New York Times","World","News","article","East Germans hanker after bygone things","East Germans hanker after bygone things"
"https://www.nytimes.com/2003/02/03/world/at-least-30-killed-by-blast-in-a-dense-block-of-lagos.html","Somini Sengupta","2003-02-03","Explosion rips through dense city block in Lagos, Nigeria, killing at least 30 people, injuring many more, and setting off chaotic looting that impedes rescue efforts; Lagos Gov Bola Tinubu is careful to note that cause of blast has not yet been d...","552","null","The New York Times","World","News","article","At Least 30 Killed by Blast In a Dense Block of Lagos","At Least 30 Killed by Blast In a Dense Block of Lagos"
"https://www.nytimes.com/2003/07/26/world/world-briefing-europe-spain-eta-bombers-sentenced.html","Emma NYT","2003-07-26","Spanish court sentences ETA members Santiago Arrospide and Caride Simon to several life terms in prison for their participation in 1987 Barcelona supermarket bombing that killed 21 people and injured 44; bombing is most deadly in 35-year-old Basqu...","103","null","The New York Times","World","News","article","World Briefing | Europe: Spain: E.T.A. Bombers Sentenced","World Briefing | Europe: Spain: E.T.A. Bombers Sentenced"
"https://www.nytimes.com/2003/10/17/world/the-struggle-for-iraq-killed-in-iraq.html","null","2003-10-17","Dept of Defense confirms death of American service member in Iraq (S)","39","null","The New York Times","World","List","article","Killed in Iraq","THE STRUGGLE FOR IRAQ; Killed in Iraq"
"https://www.nytimes.com/2003/12/05/business/worldbusiness/IHT-signs-show-that-worst-is-behind-us-he-says-armani.html","Eric Pfanner","2003-12-05","At a time when many luxury goods companies are facing an unstable future, Giorgio Armani announced plans on Thursday for a further expansion of his fashion empire next year..For many luxury goods companies, the past three years have been a struggl...","3291","null","International Herald Tribune","Business Day","null","article","Signs show that 'worst is behind us,' he says : Armani plans to fashion an expansion of empire","Signs show that 'worst is behind us,' he says : Armani plans to fashion an expansion of empire"
"https://www.nytimes.com/2003/08/27/business/japan-is-spending-heavily-to-pursue-a-weak-yen-policy.html","Jonathan Fuerbringer","2003-08-27","Japanese government is defying logic of foreign exchange market by keeping yen from rising sharply in value against dollar; Japan has himited yen's rise against dollar to no more than 2.3 percent this year by spending trillions of yen to buy dolla...","1184","null","The New York Times","Business Day","News","article","Japan Is Spending Heavily to Pursue a Weak-Yen Policy","Japan Is Spending Heavily to Pursue a Weak-Yen Policy"
"https://www.nytimes.com/2003/04/06/world/a-nation-at-war-baghdad-defiant-iraqis-say-us-push-was-thwarted.html","John Burns","2003-04-06","Information Min Muhammad Said al-Sahhaf and other senior Iraqi officials remain defiant in face of display of American military might in center of Baghdad, asserting that Iraqi soldiers and suicide bombers have 'crushed' American troops at Baghdad...","1268","null","The New York Times","World","News","article","Defiant Iraqis Say U.S. Push Was Thwarted","A NATION AT WAR: BAGHDAD; Defiant Iraqis Say U.S. Push Was Thwarted"
