"|","|__writer_name","|__pub_date","|__snippet","|__word_count","|__score","|__source","|__section_name","|__type_of_material","|__document_type","|__main_headline","|__print_headline"
"https://www.nytimes.com/2003/10/21/business/net-income-rose-20-at-citigroup-in-3rd-quarter.html","null","2003-10-21","Citigroup reports 20 percent gain in third-quarter profit; net income was $4.69 billion, up from $3.92 billion year earlier; Sanford I Weill, who retired as chief executive on Oct 1, comments (M)","638","null","The New York Times","Business Day","News","article","Net Income Rose 20% At Citigroup In 3rd Quarter","Net Income Rose 20% At Citigroup In 3rd Quarter"
"https://www.nytimes.com/2003/08/08/business/coach-plans-2-for-1-split.html","Bloomberg News","2003-08-08","Coach Inc, large seller of luxury leather goods, plans a 2-for-1 split of its common stock; Coach raises its sales and profit forecasts; shares rise (S)","76","null","The New York Times","Business Day","News","article","Coach Plans 2-for-1 Split","Coach Plans 2-for-1 Split"
"https://www.nytimes.com/2003/02/06/world/world-briefing-europe-croatia-general-too-sick-for-trial.html","Daniel NYT","2003-02-06","Former Coatian General Janko Bobetko, 84, is determined to be too sick to stand trial by United Nations war crimes court-appointed doctors; his health will be monitored and indictment will remain in place; photo (S)","72","null","The New York Times","World","News","article","World Briefing | Europe: Croatia: General Too Sick For Trial","World Briefing | Europe: Croatia: General Too Sick For Trial"
"https://www.nytimes.com/2003/12/30/business/world-business-briefing-asia-china-bank-takeover-planned.html","Keith NYT","2003-12-30","World Business Briefing: China: Bank Takeo","129","null","The New York Times","Business Day","News","article","World Business Briefing | Asia: China: Bank Takeover Planned","World Business Briefing | Asia: China: Bank Takeover Planned"
"https://www.nytimes.com/2003/03/27/business/the-media-business-advertising-addenda-miscellany.html","Stuart Elliott","2003-03-27","Vickers & Benson Arnold is renamed Arnold Worldwide Canada (S)","20","null","The New York Times","Business Day","News","article","Miscellany","THE MEDIA BUSINESS: ADVERTISING -- ADDENDA; Miscellany"
"https://www.nytimes.com/2003/05/13/international/asia/world-briefing-asia.html","null","2003-05-13","INDONESIA: Military Action Close In Aceh; JAPAN: Pressure On North Korea; INDIA: Visit To China;.","282","null","The New York Times","World","News","article","World Briefing: Asia","World Briefing: Asia"
"https://www.nytimes.com/2003/12/30/world/amid-heartbreak-city-in-iran-takes-small-steps-to-recover.html","Neil MacFarquhar","2003-12-30","Iran's Interior Ministry says death toll from earthquake in Bam stands at 25,000, or one-quarter of city's population, with thousands still missing; foreign search and rescue teams with dogs continue hunt for survivors; city is visited separately ...","1020","null","The New York Times","World","News","article","Amid Heartbreak, City in Iran Takes Small Steps to Recover","Amid Heartbreak, City in Iran Takes Small Steps to Recover"
"https://www.nytimes.com/2003/05/02/world/at-least-44-die-in-a-bus-plunge-in-south-africa.html","Ginger Thompson","2003-05-02","At least 44 people die when bus veers off road and plunges into reservoir near Bethlehem, South Africa, about 150 miles south of Johannesburg; police say there were at last 90 passengers on bus; police divers work to pull bus from reservoir and re...","382","null","The New York Times","World","News","article","At Least 44 Die in a Bus Plunge in South Africa","At Least 44 Die in a Bus Plunge in South Africa"
"https://www.nytimes.com/2003/10/06/business/technology-rapid-growth-of-china-s-huawei-has-its-high-tech-rivals-on-guard.html","Chris Buckley","2003-10-06","Huawei Technologies, Chinese communications equipment maker, lifts domestic sales by a third in first half of year, and Chinese leaders are confident that company will be able to make strong inroads into markets abroad; Huawei's rapid expansion ca...","1756","null","The New York Times","Business Day","News","article","Rapid Growth of China's Huawei Has Its High-Tech Rivals on Guard","TECHNOLOGY; Rapid Growth of China's Huawei Has Its High-Tech Rivals on Guard"
"https://www.nytimes.com/2003/01/22/business/commercial-real-estate-islands-in-the-mall-pushcarts-as-revenue-streams.html","Maureen Milford","2003-01-22","Once-humble pushcart, some now equipped wiht electricity and plumbing, has become darling of mall operators and other landlords as way of getting additional rental income; wheeled carts, now called retail merchandising units, can add 2 percent to ...","1322","null","The New York Times","Business Day","News","article","Islands in the Mall: Pushcarts as Revenue Streams","COMMERCIAL REAL ESTATE; Islands in the Mall: Pushcarts as Revenue Streams"
"https://www.nytimes.com/2003/05/16/world/aftereffects-reconstruction-us-pushes-for-rights-commissioner-become-un.html","Elizabeth With","2003-05-16","Bush administration wants Sergio Vieira de Mello, United Nations high commissioner for human rights, to be UN representative in Iraq; says his appointment would broaden UN's role in faltering reconstruction effort; Secretary Gen Kofi Annan has yet...","759","null","The New York Times","World","News","article","U.S. Pushes for Rights Commissioner to Become U.N. Representative to Iraq","AFTEREFFECTS: RECONSTRUCTION; U.S. Pushes for Rights Commissioner to Become U.N. Representative to Iraq"
"https://www.nytimes.com/2003/12/16/world/bin-laden-and-omar-far-harder-to-find.html","David Rohde","2003-12-16","American, Pakistani and Afghan officials and terrorism experts note search for Osama bin Laden and fugitive Taliban leader Mullah Muhammad Omar is far harder than successful search for Saddam Hussein in Iraq; note bin Laden is sought by far fewer ...","1044","null","The New York Times","World","News","article","Bin Laden and Omar: Far Harder to Find","Bin Laden and Omar: Far Harder to Find"
"https://www.nytimes.com/2003/04/25/business/loss-at-sony-far-exceeds-forcecasts.html","Ken Belson","2003-04-25","Sony Corp reports loss of 111.4 billion yen ($927 million) in final quarter of Japanese fiscal year ended March 31, compared with loss of 5.5 billion yen ($41 million) year earlier; sales fell 12 percent in period, as company cut inventories and p...","651","null","The New York Times","Business Day","News","article","Loss at Sony Far Exceeds Forcecasts","Loss at Sony Far Exceeds Forcecasts"
"https://www.nytimes.com/2003/05/26/business/media-easier-rules-may-not-mean-more-newspaper-tv-deals.html","Jacques Steinberg","2003-05-26","Expected relaxation of FCC rules on media cross-ownership may not produce immediate wave of acquisitions by newspaper and media companies; barriers include high price of many television stations, perception that newspaper industry is in decline, r...","1336","null","The New York Times","Business Day","News","article","Easier Rules May Not Mean More Newspaper-TV Deals","MEDIA; Easier Rules May Not Mean More Newspaper-TV Deals"
"https://www.nytimes.com/2003/09/10/world/world-briefing-asia-thailand-capital-punishment-change.html","Raymond NYT","2003-09-10","Thailand Corrections Department official reports death sentences will now be carried out by lethal injection instead of firing squads; estimated 950 prisoners are on death row in Thailand (S)","51","null","The New York Times","World","News","article","World Briefing | Asia: Thailand: Capital Punishment Change","World Briefing | Asia: Thailand: Capital Punishment Change"
"https://www.nytimes.com/2003/01/10/business/margins-add-silver-to-a-cloudy-retailing-season.html","Tracie Rozhon","2003-01-10","December's comparable-store sales, compiled from stores open at least one year, rise about 1.6 percent from last year, most disappointing increase in at least decade; some companies say that profit on items sold was higher than last year; chart (M...","755","null","The New York Times","Business Day","News","article","Margins Add Silver to a Cloudy Retailing Season","Margins Add Silver to a Cloudy Retailing Season"
"https://www.nytimes.com/2003/02/06/world/threats-responses-nuclear-tension-north-korea-restarts-plant-with-ability-fuel.html","Howard French","2003-02-06","North Korea, apparently trying to keep up pressure on US, announces resumption of 'normal operations' at mothballed nuclear reactor at Yongbyon, which could be used to produce weapons-grade uranium; US national security adviser Condoleezza Rice co...","485","null","The New York Times","World","News","article","North Korea Restarts Plant With Ability To Fuel Arms","THREATS AND RESPONSES: NUCLEAR TENSION; North Korea Restarts Plant With Ability To Fuel Arms"
"https://www.nytimes.com/2003/05/12/business/technology-military-hardware-is-adapted-to-fight-sars.html","Wayne Arnold","2003-05-12","Singapore authorities have adapted thermal imaging scanners developed for military purposes to help combat SARS spread; use infrared sensing system to screen arriving airline passengers for fever, SARS symptom, as they walk past special camera; Si...","697","null","The New York Times","Business Day","News","article","Military Hardware Is Adapted to Fight SARS","TECHNOLOGY; Military Hardware Is Adapted to Fight SARS"
"https://www.nytimes.com/2003/12/20/business/company-briefs-640913.html","null","2003-12-20","","94","null","The New York Times","Business Day","News","article","COMPANY BRIEFS","COMPANY BRIEFS"
"https://www.nytimes.com/2003/03/14/business/company-news-smucker-to-close-3-plants-and-cut-335-jobs.html","Bloomberg News","2003-03-14","Smucker To Close 3 Plants and Cut 335 Jobs***J M Smucker Co, nation's biggest maker of jams and jellies, will close three plants and eliminate 335 jobs while consolidating production and distribution; expects closings to cost about $18 million ove...","101","null","The New York Times","Business Day","News","article","SMUCKER TO CLOSE 3 PLANTS AND CUT 335 JOBS","COMPANY NEWS; SMUCKER TO CLOSE 3 PLANTS AND CUT 335 JOBS"
