"|","|__writer_name","|__pub_date","|__snippet","|__word_count","|__score","|__source","|__section_name","|__type_of_material","|__document_type","|__main_headline","|__print_headline"
"https://www.nytimes.com/2005/07/17/business/yourmoney/robin-hoods-or-legal-hoods.html","Timothy O'BRIEN","2005-07-17","A law firm that spent decades winning lawsuits against huge corporations is now in the cross hairs of a government investigation.","3624","null","The New York Times","Business Day","News","article","Robin Hoods or Legal Hoods?","null"
"https://www.nytimes.com/2005/01/21/business/media/is-bob-iger-a-new-leading-man-for-disney.html","null","2005-01-21","The job of chief executive of The Walt Disney Company increasingly looks like Robert Iger's to lose.","1280","null","The New York Times","Business Day","News","article","Is Bob Iger a New Leading Man for Disney?","null"
"https://www.nytimes.com/2005/01/26/business/making-a-fortune-by-wagering-that-drug-prices-tend-to-rise.html","Stephanie SAUL","2005-01-26","As he becomes visible as one of New York's wealthiest men, Stewart Rahr is preparing for the elimination of the system that made him rich - pharmaceutical delivery.","1835","null","The New York Times","Business Day","News","article","Making a Fortune by Wagering That Drug Prices Tend to Rise","Making a Fortune by Wagering That Drug Prices Tend to Rise"
"https://www.nytimes.com/2005/01/27/business/tiny-loans-stimulate-the-appetite-for-more.html","Betsy CUMMINGS","2005-01-27","As the number of female entrepreneurs expands in developing countries, their demand for more capital is prodding microloan companies to rethink their financing packages.","1400","null","The New York Times","Business Day","News","article","Tiny Loans Stimulate the Appetite for More","Tiny Loans Stimulate The Appetite for More"
"https://www.nytimes.com/2005/04/03/business/drug-makers-race-to-cash-in-on-nations-fight-against-fat.html","Stephanie SAUL","2005-04-03","From pharmaceutical giants to tiny start-ups, the industry is spending billions of dollars developing obesity drugs.","2076","null","The New York Times","Business Day","News","article","Drug Makers Race to Cash In on Nation's Fight Against Fat","Drug Makers Race to Cash In on Fight Against Fat"
"https://www.nytimes.com/2005/10/05/business/bush-keeps-open-mind-on-choice-to-run-fed.html","Edmund ANDREWS","2005-10-05","With less than four months before Alan Greenspan's retirement, President Bush is saying that he wants someone independent from politics as his successor.","1309","null","The New York Times","Business Day","News","article","Bush Keeps Open Mind on Choice to Run Fed","null"
"https://www.nytimes.com/2005/10/25/business/choice-of-fed-chairman-helps-a-rally-on-wall-street.html","Bloomberg NEWS","2005-10-25","By Bloomberg News.","846","null","The New York Times","Business Day","News","article","Choice of Fed Chairman Helps a Rally on Wall Street","null"
"https://www.nytimes.com/2005/04/20/world/europe/20profile.html","Daniel WAKIN","2005-04-20","Along with his subtle and powerful intellect lies a spiritual, almost mystical side rooted in Bavaria.","1863","null","The New York Times","World","News","article","From Roots in Wartime Germany to the Papacy","null"
"https://www.nytimes.com/2005/08/03/business/aig-and-related-insurer-set-to-fight-for-big-liability.html","Jenny ANDERSON","2005-08-03","As American International Group tries to emerge from a dark cloud of accounting improprieties and regulatory investigations, a highly unusual battle is brewing over a Barbados-based offshore reinsurance company.","868","null","The New York Times","Business Day","News","article","A.I.G. and Related Insurer Set to Fight for Big Liability","A.I.G. and Related Insurer Set to Fight for Big Liability"
"https://www.nytimes.com/2005/03/30/technology/new-leader-is-called-a-trust-builder.html","Laurie FLYNN","2005-03-30","If the directors of Hewlett-Packard had set out to find a leader who was the antithesis of Carleton S. Fiorina, they could hardly have done better than Mark V. Hurd, an affable Midwesterner who is almost entirely unknown in Silicon Valley.","700","null","The New York Times","Technology","News","article","New Leader Is Called a Trust Builder","null"
