"|","|__writer_name","|__pub_date","|__snippet","|__word_count","|__score","|__source","|__section_name","|__type_of_material","|__document_type","|__main_headline","|__print_headline"
"https://www.nytimes.com/2002/06/06/business/media/people-and-accounts-of-note.html","Allison Fass","2002-06-06","Business Marketing Association, Chicago, named Bob Goranson as national chairman. Mr. Goranson is a partner at Mobium Creative Group, Chicago.","1031","null","The New York Times","Business Day","News","article","People and Accounts of Note","People and Accounts of Note"
"https://www.nytimes.com/2002/02/10/business/backslash-mayhem-and-far-from-the-nicest-kind.html","Matt Richtel","2002-02-10","Matt Richtel's Backslash column on whether violent video games have any redeeming content focuses on Grand Theft Auto III, popular new video game from Take Two Interactive Software that has been banned in Australia because of its violent nature, d...","846","null","The New York Times","Business Day","News","article","Mayhem, and Far From the Nicest Kind","BACKSLASH; Mayhem, and Far From the Nicest Kind"
"https://www.nytimes.com/2002/06/21/business/technology-internet-radio-criticizes-rate-on-royalties.html","Amy Harmon","2002-06-21","Federal copyright regulators set critical ground rule for fledgling Internet radio industry, cutting in half proposed royalty rate that Internet companies must pay record labels; adjustment falls short of what many say would be necessary for them ...","674","null","The New York Times","Business Day","News","article","Internet Radio Criticizes Rate On Royalties","TECHNOLOGY; Internet Radio Criticizes Rate On Royalties"
"https://www.nytimes.com/2002/05/17/world/world-briefing-americas-brazil-police-chief-convicted-in-peasants-deaths.html","Larry NYT","2002-05-17","Jury in Brazil finds Col Mario Colares Pantoja guilty of murder in connection with killing of 19 landless peasants during 1996 confrontation in Amazon; sentences him to 228 years in prison (S)","75","null","The New York Times","World","News","article","World Briefing | Americas: Brazil: Police Chief Convicted In Peasants' Deaths","World Briefing | Americas: Brazil: Police Chief Convicted In Peasants' Deaths"
"https://www.nytimes.com/2002/02/08/business/company-news-watchguard-is-buying-rapidstream-for-48-million.html","Bloomberg News","2002-02-08","WatchGuard Technologies, maker of Internet-security software and hardware, plans to buy RapidStream Inc for $48 million (S)","105","null","The New York Times","Business Day","News","article","WATCHGUARD IS BUYING RAPIDSTREAM FOR $48 MILLION","COMPANY NEWS; WATCHGUARD IS BUYING RAPIDSTREAM FOR $48 MILLION"
"https://www.nytimes.com/2002/07/05/business/international-business-japan-s-bad-loan-agency-turns-a-profit.html","Ken Belson","2002-07-05","Resolution and Collection Corp, agency charged with cleaning up Japan's banking problems, turned profit collecting bad loans last year; operation is still far from achieving its goals and lawmakers are weighing whether to speed up process by allow...","584","null","The New York Times","Business Day","News","article","Japan's Bad-Loan Agency Turns a Profit","INTERNATIONAL BUSINESS; Japan's Bad-Loan Agency Turns a Profit"
"https://www.nytimes.com/2002/07/06/your-money/IHT-upstart-airlines-above-the-clouds-the-granddaddy-of-them-all.html","Terry Maxon","2002-07-06","In early 1971, an upstart Texas air carrier hired M. Lamar Muse, a former airline executive then working as a consultant, to get it up and running. By the time he left Southwest Airlines Co. seven years later, Muse had helped create the successful...","4518","null","International Herald Tribune","Your Money","null","article","Upstart airlines / Above the clouds : The granddaddy of them all","Upstart airlines / Above the clouds : The granddaddy of them all"
"https://www.nytimes.com/2002/10/15/business/auriongold-to-accept-placer-dome-offer.html","Bernard Simon","2002-10-15","Australia's AurionGold abandons its opposition to hostile takeover bid from Placer Dome Inc of Canada; AurionGold's directors say that it is no longer in best interests of shareholders to reject Placer's offer of stock and cash, valued at 1.5 bill...","480","null","The New York Times","Business Day","News","article","AurionGold to Accept Placer Dome Offer","AurionGold to Accept Placer Dome Offer"
"https://www.nytimes.com/2002/12/16/technology/e-commerce-report-baby-boomers-grow-older-online-prescription-drug-sales-are.html","Bob Tedeschi","2002-12-16","Online sales of prescription drugs show steady growth as Internet users seek to cut costs and frequency of trips to drugstores; pharmacy-benefit management plans, which help run benefits programs for health insurers, are in strongest position to c...","1104","null","The New York Times","Technology","News","article","E-Commerce Report; As baby boomers grow older, online prescription drug sales are showing steady growth.","E-Commerce Report; As baby boomers grow older, online prescription drug sales are showing steady growth."
"https://www.nytimes.com/2002/01/24/business/text-of-fed-chairmans-testimony-on-the-economy.html","null","2002-01-24","The following text of testimony by Alan Greenspan, the Federal Reserve Board chairman, before the Senate Budget Committee, was taken from the Federal Reserve's web site, federalreserve.gov .","5301","null","The New York Times","Business Day","News","article","Text of Fed Chairman's Testimony on the Economy","Text of Fed Chairman's Testimony on the Economy"
