"|","|__writer_name","|__pub_date","|__snippet","|__word_count","|__score","|__source","|__section_name","|__type_of_material","|__document_type","|__main_headline","|__print_headline"
"https://www.nytimes.com/2011/03/16/world/asia/16japan.html","Ken Belson","2011-03-15","Tokyo residents are learning that things they have taken for granted can quickly slip beyond their reach.","1295","null","The New York Times","World","News","article","Certainties of Modern Life Upended in Japan","As Routines Falter, So Does National Confidence"
"https://www.nytimes.com/2011/03/19/world/asia/19japan.html","Ken Belson","2011-03-18","Engineers linked a power cable to the crippled plant Saturday as they struggled to restart systems designed to prevent overheating.","1299","null","The New York Times","World","News","article","Japan Races to Restart Reactors’ Cooling System","Japan Races to Restart Reactors’ Cooling System"
"https://www.nytimes.com/2011/03/14/business/global/14auto.html","Nick Bunkley","2011-03-13","Automakers scrambled to determine whether they would be able to build and export cars in light of the rolling power blackouts and the damage to Japan’s infrastructure.","759","null","The New York Times","Business Day","News","article","Auto Plants in Japan Remain Closed as Companies Take Stock","Auto Plants in Japan Remain Closed as Companies Take Stock"
"https://www.nytimes.com/2011/07/10/world/asia/10sendai.html","Ken Belson","2011-07-09","Sendai’s front yard has been transformed into the final resting place for the detritus created by the disaster four months ago.","1095","null","The New York Times","World","News","article","In Tsunami-Torn City, Seaside Playgrounds Become Debris Dumps","In Tsunami-Torn City, Seaside Playgrounds Become Debris Dumps"
"https://www.nytimes.com/2011/04/27/business/global/27dealer.html","Hiroko Tabuchi","2011-04-26","The Sendai Toyopet dealership’s recovery effort offers a glimpse into Japan’s broader quest for something like a return to normalcy.","1077","null","The New York Times","Business Day","News","article","After Quake in Japan, a Toyota Dealer Slowly Regains Its Footing","After Quake in Japan, a Toyota Dealer Slowly Regains Its Footing"
"https://www.nytimes.com/2011/03/09/business/energy-environment/09bp.html","Clifford Krauss","2011-03-08","Robert Dudley’s comments contrasted with those of other oil executives who laid the blame for a Gulf of Mexico blowout and oil spill on the design of BP’s well.","905","null","The New York Times","Business Day","News","article","BP Chief Says Industry Must Change to Guard Against Spills","BP Chief Says Industry Must Change to Guard Against Spills"
"https://www.nytimes.com/2011/12/09/business/global/across-asia-an-engine-of-growth-for-luxury-firms.html","Bettina Wassener","2011-12-08","With Western economies languishing, emerging economies in Asia have become a primary engine of global growth generally, and the luxury market in particular, in recent years.","1444","null","International Herald Tribune","Business Day","News","article","Across Asia, an Engine of Growth for Luxury Firms","Across Asia, an Engine of Growth for Luxury Firms"
"https://www.nytimes.com/2011/06/08/technology/08nintendo.html","Eric Taub","2011-06-08","The Nintendo Wii U, to be introduced next year, is intended to meet competition not only from game consoles with higher-resolution graphics, but also from devices like the iPad.","602","null","The New York Times","Technology","News","article","Countering Video Game Rivals, Nintendo Introduces a Touch-Screen Wii","Countering Video Game Rivals, Nintendo Introduces a Touch-Screen Wii"
"https://www.nytimes.com/2011/02/10/business/10mortgage.html","Louise Story","2011-02-10","A suit by a mortgage insurer says that Bear Stearns pocketed money from bad loans instead of putting it toward mortgage bonds.","1281","null","The New York Times","Business Day","News","article","New Questions Raised in Mortgage Financing","Handling\nOf Mortgage\nPayments\nQuestioned"
"https://www.nytimes.com/2011/03/07/world/middleeast/07baghdad.html","Jack Healy","2011-03-07","A blast wall intended to improve security dammed off a pocket of merchants and barbershops, cloistering about 1,500 residents of one corner of Sadr City behind a concrete curtain.","965","null","The New York Times","World","News","article","Baghdad Neighborhood Celebrates as a Wall Is Taken Away","Baghdad Neighborhood Celebrates as a Wall Is Taken Away"
"https://www.nytimes.com/2011/01/29/world/asia/29pakistan.html","Waqar Gillani","2011-01-28","An American official, Raymond A. Davis, 36, was charged with murdering two Pakistanis.","473","null","The New York Times","World","News","article","American Charged in Pakistan Killing","American Official Is Charged in the Killings of 2 Pakistanis"
"https://www.nytimes.com/2011/02/15/world/asia/15envoy.html","Mark Landler","2011-02-15","Secretary of State Hillary Rodham Clinton chose Marc Grossman, a retired senior diplomat and former ambassador to Turkey, as the Obama administration’s new special representative for Afghanistan and Pakistan.","367","null","The New York Times","World","News","article","Pakistan and Afghanistan to Get New U.S. Envoy","Pakistan and Afghanistan To Get New U.S. Envoy"
"https://www.nytimes.com/2011/02/19/business/19hyundai.html","Nick Bunkley","2011-02-18","The car maker laid down roots and provided jobs for thousands in Alabama as local textile mills closed.","1405","null","The New York Times","Business Day","News","article","Hyundai’s Swift Growth Lifts Alabama’s Economy","Hyundai Lifts Alabama"
"https://www.nytimes.com/2011/05/02/business/media/02adnewsletter1.html","Stuart Elliott","2011-05-02","The Tillamook County Creamery co-op begins a campaign for its medium cheddar cheese with a series of humorous TV and online spots.","1637","null","The New York Times","Business Day","News","article","Love That Cheese, the Burger Declares","Love That Cheese, the Burger Declares"
"https://www.nytimes.com/2011/05/15/jobs/15boss.html","Colin Angle","2011-05-14","Colin Angle, the longtime C.E.O. of iRobot, has been building and fixing things since he was 3.","651","null","The New York Times","Job Market","News","article","Still Making the Cool Stuff","Still Making the Cool Stuff"
"https://www.nytimes.com/2011/02/21/world/europe/21britain.html","John Burns","2011-02-20","The British Secret Intelligence Service, or MI6, invited an artist to make a graphic record of its hidden world.","1169","null","The New York Times","World","News","article","Portrait of Spy Agency Leaves Much in Shadow","Portrait of Spy Agency Leaves Much in Shadow"
"https://www.nytimes.com/2011/02/12/world/middleeast/12egypt.html","null","2011-02-11","The departure of President Hosni Mubarak was a pivotal turn in a revolt that has upended one of the Arab’s world’s most enduring dictatorships.","1863","null","The New York Times","World","News","article","Egypt Erupts in Jubilation as Mubarak Steps Down","MUBARAK OUT"
"https://www.nytimes.com/2011/05/26/world/europe/26turkey.html","Anthony Shadid","2011-05-25","The foreign minister says Mr. Assad must act quickly to “gain the heart of his people.”","1114","null","The New York Times","World","News","article","Turkey Calls for Syrian Reforms on Order of ‘Shock Therapy’","Turkey Calls for Syrian Reforms on Order of ‘Shock Therapy’"
"https://www.nytimes.com/2011/05/26/technology/personaltech/26smart.html","Bob Tedeschi","2011-05-25","Some apps combine your music library and location to build a list of nearby concerts by your favorite artists.","1024","null","The New York Times","Technology","News","article","Getting a Head Start on That Musical Night on the Town","Getting a Head Start on That Musical Night on the Town"
"https://www.nytimes.com/2011/05/26/business/media/26adco.html","Stuart Elliott","2011-05-26","The Dutch brewer introduced its newest spots on its home pages on YouTube and Facebook before they were shown on television.","929","null","The New York Times","Business Day","News","article","Heineken Aims Its Ads at Young Digital Devotees","Heineken Aims Its Ads at Young Digital Devotees"
"https://www.nytimes.com/2011/05/26/world/europe/26migrants.html","Suzanne Daley","2011-05-26","Thousands of immigrants who were lured to Spain by dreams of easy money and a better life now live in encampments in the woods.","1200","null","The New York Times","World","News","article","Chasing Riches From Africa to Europe and Finding Only Squalor","Chasing Riches From Africa to Europe and Finding Only Squalor"
"https://www.nytimes.com/2011/05/26/world/middleeast/26jerusalem.html","Isabel Kershner","2011-05-26","Participants saw the event as a triumphant affirmation of Prime Minister Benjamin Netanyahu’s declaration that Jerusalem must remain the united capital of Israel.","601","null","The New York Times","World","News","article","Apartments Are Dedicated in Jerusalem","Apartments Are Dedicated in Jerusalem"
"https://www.nytimes.com/2011/05/26/world/asia/26india.html","null","2011-05-26","The small charter aircraft was carrying a patient critically ill with jaundice, along with two pilots, two doctors and two attendants.","167","null","The New York Times","World","News","article","Plane Crashes in New Delhi, Killing 10","Plane Crashes in New Delhi, Killing 10"
"https://www.nytimes.com/2011/02/18/world/middleeast/18egypt.html","Anthony Shadid","2011-02-17","Joining others across Egypt pressing demands for better wages and conditions in protests that have sent the economy reeling, hundreds of workers went on strike Thursday along the Suez Canal.","1085","null","The New York Times","World","News","article","Suez Canal Workers Join Broad Strikes in Egypt","Suez Canal Workers Join Broad Strikes in Egypt"
"https://www.nytimes.com/2011/02/20/your-money/20stra.html","Jeff Sommer","2011-02-19","Despite the market’s rally, the forecaster Robert Prechter says he is sticking to his forecast of catastrophe.","936","null","The New York Times","Your Money","News","article","Writing ‘Danger’ in Ever-Larger Letters","Writing ‘Danger’ In Ever-Larger Letters"
"https://www.nytimes.com/2011/02/18/world/europe/18france.html","Steven Erlanger","2011-02-17","Dominique Strauss-Kahn, who heads the International Monetary Fund, is considered the leading Socialist candidate for the French presidency in 2012, but so far he has refused to talk about politics.","1095","null","The New York Times","World","News","article","One Prospect for President Isn’t Talking, but France Is","One Prospect For President Isn’t Talking, But France Is"
"https://www.nytimes.com/2011/02/18/world/middleeast/18missing.html","Liam Stack","2011-02-18","While Egyptians have cheered the military, groups say it was involved in recent disappearances and torture.","1195","null","The New York Times","World","News","article","Among Egypt’s Missing, Tales of Torture and Prison","Disappearances in Egypt Stoke Concerns About Military’s Vows for Transition"
