"|","|__writer_name","|__pub_date","|__snippet","|__word_count","|__score","|__source","|__section_name","|__type_of_material","|__document_type","|__main_headline","|__print_headline"
"https://www.nytimes.com/2016/11/10/your-money/how-refinancing-your-mortgage-can-pay-off-your-student-loan.html","Ann Carrns","2016-11-09","A new program offers some benefits to borrowers with private loans but also carries risks, experts caution.","837","null","The New York Times","Your Money","News","article","How Refinancing Your Mortgage Can Pay Off Your Student Loan","null"
"https://www.nytimes.com/2016/11/10/technology/peter-thiel-bet-donald-trump-wins-big.html","David Streitfeld","2016-11-09","Mr. Thiel was the only prominent person in the tech industry to support Donald J. Trump, and doubled down on the candidate when things seemed bleakest.","985","null","The New York Times","Technology","News","article","Peter Thiel’s Bet on Donald Trump Pays Off","Thiel Ignored the Tech Industry Naysayers to Bet on Trump, and Won"
"https://www.nytimes.com/2016/11/10/business/economy/trump-federal-reserve-interest-rates.html","Binyamin Appelbaum","2016-11-09","Some analysts say his plans to spur growth with a tax cut, infrastructure spending and other actions could lead the Fed to continue raising rates.","886","null","The New York Times","Business Day","News","article","Trump Victory Could Prompt Fed to Raise Rates More Quickly","Trump’s Victory Could Prompt Fed to Raise Interest Rates More Quickly"
"https://www.nytimes.com/2016/11/11/business/dealbook/hedge-fund-investors-uncertain-of-donald-trumps-direction.html","Alexandra Stevenson","2016-11-10","Across Wall Street, Donald J. Trump’s victory took many by surprise. But a market tremor faded, and concerns turned to the president-elect’s agenda.","764","null","The New York Times","Business Day","News","article","For Hedge Fund Investors, Calm Uncertainty Over Trump’s Direction","null"
"https://www.nytimes.com/2016/11/10/business/dealbook/trump-expected-to-seek-deep-cuts-in-business-regulations.html","Michael Corkery","2016-11-10","The Trump administration is likely to seek vast cuts in regulations across the banking, health care and energy industries.","2070","null","The New York Times","Business Day","News","article","Trump Expected to Seek Deep Cuts in Business Regulations","In Trump’s Cross Hairs: Federal Regulations"
"https://www.nytimes.com/2016/11/10/business/media/election-ratings-are-second-highest-in-broadcast-history.html","null","2016-11-10","An average of 71.4 million viewers tuned in to the major networks during prime time coverage of the presidential election results.","290","null","The New York Times","Business Day","News","article","Election Ratings Are Second-Highest in Broadcast History","null"
"https://www.nytimes.com/2016/11/11/technology/russia-linkedin-data-court-blocked.html","Mark Scott","2016-11-10","The social network for professionals was found to have violated a law requiring it to store local users’ data within the country.","889","null","The New York Times","Technology","News","article","Russia Prepares to Block LinkedIn After Court Ruling","Russia Prepares to Block LinkedIn"
"https://www.nytimes.com/2016/11/12/business/insurers-unprepared-for-obamacare-repeal.html","Reed Abelson","2016-11-11","Mr. Trump indicated he would like to keep a provision that forces insurers to cover people with pre-existing conditions and another that allows parents to cover children into their mid-20s.","1537","null","The New York Times","Business Day","News","article","Donald Trump Says He May Keep Parts of Obama Health Care Act","Trump Signals Shifting Views of Health Law"
"https://www.nytimes.com/2016/10/27/world/americas/ontario-nursing-home-killings.html","Ian Austen","2016-10-27","New details emerged about a nurse charged with eight counts of murder over a seven-year period, but a possible motive for the killings remained unclear.","762","null","The New York Times","World","News","article","8 Nursing Home Killings Leave Ontario Asking: Why?","8 Nursing Home Killings Raise a Question: Why?"
"https://www.nytimes.com/2016/10/28/world/europe/he-was-convicted-for-being-gay-42-years-later-he-wants-an-apology.html","null","2016-10-27","George Montague, 93, who is working to get apologies instead of pardons for as many as 65,000 other gay men, spoke about his life experiences.","810","null","The New York Times","World","News","article","He Was Convicted for Being Gay. 42 Years Later, He Wants an Apology.","Convicted for Being Gay, Now He Wants an Apology"
