"|","|__writer_name","|__pub_date","|__snippet","|__word_count","|__score","|__source","|__section_name","|__type_of_material","|__document_type","|__main_headline","|__print_headline"
"https://www.nytimes.com/1989/08/08/business/respironics-inc-reports-earnings-for-qtr-to-june-30.html","null","1989-08-08","","141","null","The New York Times","Business Day","Statistics","article","Respironics Inc reports earnings for Qtr to June 30","Respironics Inc reports earnings for Qtr to June 30"
"https://www.nytimes.com/1989/08/10/business/world-wide-technology-reports-earnings-for-qtr-to-june-30.html","null","1989-08-10","","59","null","The New York Times","Business Day","Statistics","article","World-Wide Technology reports earnings for Qtr to June 30","World-Wide Technology reports earnings for Qtr to June 30"
"https://www.nytimes.com/1989/07/21/business/textron-inc-reports-earnings-for-qtr-to-june-30.html","null","1989-07-21","","148","null","The New York Times","Business Day","Statistics","article","Textron Inc. reports earnings for Qtr to June 30","Textron Inc. reports earnings for Qtr to June 30"
"https://www.nytimes.com/1989/07/22/business/salem-carpet-mills-inc-reports-earnings-for-qtr-to-june-30.html","null","1989-07-22","","117","null","The New York Times","Business Day","Statistics","article","Salem Carpet Mills Inc. reports earnings for Qtr to June 30","Salem Carpet Mills Inc. reports earnings for Qtr to June 30"
"https://www.nytimes.com/1989/08/04/business/biomira-inc-reports-earnings-for-qtr-to-june-30.html","null","1989-08-04","","91","null","The New York Times","Business Day","Statistics","article","Biomira Inc.  reports earnings for Qtr to June 30","Biomira Inc.  reports earnings for Qtr to June 30"
"https://www.nytimes.com/1989/08/08/business/bsn-corp-reports-earnings-for-qtr-to-june-30.html","null","1989-08-08","","132","null","The New York Times","Business Day","Statistics","article","BSN Corp reports earnings for Qtr to June 30","BSN Corp reports earnings for Qtr to June 30"
"https://www.nytimes.com/1989/08/16/business/flexsteel-industries-reports-earnings-for-qtr-to-june-30.html","null","1989-08-16","","123","null","The New York Times","Business Day","Statistics","article","Flexsteel Industries reports earnings for Qtr to June 30","Flexsteel Industries reports earnings for Qtr to June 30"
"https://www.nytimes.com/1989/08/17/business/campbell-resources-reports-earnings-for-qtr-to-june-30.html","null","1989-08-17","","120","null","The New York Times","Business Day","Statistics","article","Campbell Resources reports earnings for Qtr to June 30","Campbell Resources reports earnings for Qtr to June 30"
"https://www.nytimes.com/1989/08/18/business/chelsea-industries-inc-reports-earnings-for-qtr-to-july-1.html","null","1989-08-18","","185","null","The New York Times","Business Day","Statistics","article","Chelsea Industries Inc reports earnings for Qtr to July 1","Chelsea Industries Inc reports earnings for Qtr to July 1"
"https://www.nytimes.com/1989/08/29/business/duty-free-international-inc-reports-earnings-for-qtr-to-july-31.html","null","1989-08-29","","145","null","The New York Times","Business Day","Statistics","article","Duty Free International Inc reports earnings for Qtr to July 31","Duty Free International Inc reports earnings for Qtr to July 31"
