"|","|__writer_name","|__pub_date","|__snippet","|__word_count","|__score","|__source","|__section_name","|__type_of_material","|__document_type","|__main_headline","|__print_headline"
"https://www.nytimes.com/2012/12/04/business/global/balenciaga-taps-alexander-wang.html","Suzy Menkes","2012-12-03","California-raised, Mr. Wang became the first designer of Asian descent to enter the highest ranks of Parisian high fashion.","349","null","International Herald Tribune","Business Day","News","article","Balenciaga Taps Alexander Wang","Balenciaga Taps Alexander Wang"
"https://dealbook.nytimes.com/2012/09/03/david-ebersman-the-man-behind-facebooks-i-p-o-debacle/","Andrew SORKIN","2012-09-04","The company’s chief financial officer badly misjudged demand for Facebook’s I.P.O., and will be under pressure until the stock rebounds.","1221","null","The New York Times","Business Day","News","article","The Man Behind Facebook’s I.P.O. Debacle","null"
"https://www.nytimes.com/2012/10/26/business/global/family-of-wen-jiabao-holds-a-hidden-fortune-in-china.html","David Barboza","2012-10-25","It is unclear how much Prime Minister Wen Jiabao, who has staked a position as a populist and a reformer, knows about the $2.7 billion in assets his family has amassed.","4711","null","The New York Times","Business Day","News","article","Billions in Hidden Riches for Family of Chinese Leader","Billions Amassed in the Shadows By the Family of China’s Premier"
"https://www.nytimes.com/2012/01/04/world/europe/shooting-raises-tensions-between-moldova-and-russia.html","Ellen Barry","2012-01-03","A Russian peacekeeper fatally shot a young Moldovan man as he sped through a checkpoint early on New Year’s Day.","833","null","The New York Times","World","News","article","Shooting at Checkpoint Raises Tensions in a Disputed Region Claimed by Moldova","Shooting at Checkpoint Raises Tensions in a Disputed Region Claimed by Moldova"
"https://www.nytimes.com/2012/01/04/business/global/04iht-kpn04.html","null","2012-01-03","Carla Smits-Nusteling, KPN's chief financial officer, disagreed with a decision to quadruple the top management board to 12 members from three, the company said.","454","null","The New York Times","Business Day","News","article","Dutch Firm’s Finance Officer Quits After Reorganization","Dutch Firm’s Finance Officer Quits After Reorganization"
"https://www.nytimes.com/2012/01/05/world/europe/two-sentenced-in-1993-racial-murder-case-that-changed-justice-in-britain.html","John Burns","2012-01-04","The two white men were found guilty of the racially motivated murder of a black youth named Stephen Lawrence on a south London street in April 1993.","1045","null","The New York Times","World","News","article","2 Sentenced to Prison in Racial Killing That Scarred Britain","2 Sentenced to Prison in Racial Killing That Scarred Britain"
"https://www.nytimes.com/2012/01/05/world/asia/in-myanmar-girl-band-embraces-western-culture-on-burmese-terms.html","null","2012-01-04","The five members of Me N Ma Girls are battling conservative parents, a censorship board and boyfriends who think it is outrageous that they go onstage in such skimpy outfits.","1383","null","The New York Times","World","News","article","Myanmar’s First Girl Band Pushes Limits of Censors, and Parents","Myanmar’s First Girl Band Pushes Limits of Censors, and Parents"
"https://www.nytimes.com/2012/01/05/business/chrysler-sales-climbed-26-last-year.html","Bill Vlasic","2012-01-04","The Detroit carmakers posted double-digit increases in sales for the year as December finished with a flourish.","990","null","The New York Times","Business Day","News","article","Good Year for Autos, but a Test Waits in ’12","Good Year For Autos, But a Test Waits in ’12"
"https://www.nytimes.com/2012/01/05/business/boeing-to-shut-wichita-plant.html","Christopher Drew","2012-01-04","The company announced plans to close the huge military operation and eliminate jobs there by the end of 2013 to cut costs.","647","null","The New York Times","Business Day","News","article","Boeing to Shut Wichita Plant, Citing Cuts at Pentagon","Boeing to Shut Wichita Plant, Citing Cuts at Pentagon"
"https://www.nytimes.com/2012/01/05/business/global/05iht-snb05.html","Jack Ewing","2012-01-04","Philipp M. Hildebrand bought and sold currency as he was directing monetary policy to control the rise of the Swiss franc, a magazine reported.","1032","null","The New York Times","Business Day","News","article","Insider Trading Accusations Are Reported Against Swiss Bank’s Chairman","Insider Trading Accusations Are Reported Against Swiss Bank’s Chairman"
"https://www.nytimes.com/2012/01/05/world/europe/report-tells-of-cozy-relationship-between-british-news-media-and-london-police-surrounding-phone-hacking-scandal.html","Sarah Lyall","2012-01-04","A report, commissioned in response to the phone-hacking scandal and released Wednesday, offered a window into the relationship between the news media and the Metropolitan Police Service.","580","null","The New York Times","World","News","article","Tip for London Police Officers: Booze and Secrets Don’t Mix","Tip for London Police Officers: Booze and Secrets Don’t Mix"
"https://www.nytimes.com/2012/01/05/technology/personaltech/amid-an-avalanche-of-ipad-apps-the-best-of-2011-app-smart.html","Bob Tedeschi","2012-01-05","So many apps came out for the iPad last year that it was easy to miss the good ones. Here are 10 favorites.","1143","null","The New York Times","Technology","News","article","Sorting Out an Avalanche of iPad Apps for the Best of 2011","Sorting Out an Avalanche of iPad Apps for the Best of 2011"
"https://www.nytimes.com/2012/01/05/world/europe/europe-moves-toward-ban-on-iran-oil.html","Steven Erlanger","2012-01-04","European countries agreed in principle to impose an embargo on Iran’s oil, diplomats said, their most aggressive move yet in the tense standoff with Iran over its nuclear program.","1077","null","The New York Times","World","News","article","Europe Takes Bold Step Toward a Ban on Iranian Oil","In Bold Step, Europe Nears Embargo on Iran Oil"
"https://www.nytimes.com/2012/01/05/technology/personaltech/devices-to-keep-track-of-calories-lost-or-gained.html","Roy Furchgott","2012-01-05","Monitors designed to gauge physical activity and subsequent calories burned might become a silver bullet for weight loss and for sticking to New Year’s resolutions.","1351","null","The New York Times","Technology","News","article","Devices to Keep Track of Calories, Lost or Gained","Devices to Keep Track of Calories, Lost or Gained"
"https://www.nytimes.com/2012/01/05/business/economy/demand-for-factory-goods-rises.html","Bloomberg News","2012-01-05","Orders increased by 1.8 percent, the most in four months, an indication that manufacturing will help improve the economy.","262","null","The New York Times","Business Day","News","article","Factory Orders Increase 1.8%","Factory Orders Increase 1.8%"
"https://www.nytimes.com/2012/01/05/business/media/complete-album-sales-showed-slight-growth-in-2011.html","Ben Sisario","2012-01-05","Driven largely by digital purchases, and by the singer Adele, sales of complete albums in the United States grew by 1.3 percent from 2010.","760","null","The New York Times","Business Day","News","article","Full Album Sales Showed a Little Growth in 2011","Full Album Sales Showed A Little Growth in 2011"
"https://www.nytimes.com/2012/01/05/business/oil-price-would-skyrocket-if-iran-closed-the-strait.html","Clifford Krauss","2012-01-05","Iran’s threat to blockade the Strait of Hormuz would have an immediate impact, energy analysts say, with the price of oil potentially rising 50 percent within days.","1005","null","The New York Times","Business Day","News","article","Oil Price Would Skyrocket if Iran Closed the Strait of Hormuz","Oil Price Would Skyrocket If Iran Closed the Strait"
