"|","|__writer_name","|__pub_date","|__snippet","|__word_count","|__score","|__source","|__section_name","|__type_of_material","|__document_type","|__main_headline","|__print_headline"
"https://www.nytimes.com/2017/04/16/technology/inside-the-hotel-industrys-plan-to-combat-airbnb.html","Katie Benner","2017-04-16","Newly obtained documents show how the American Hotel and Lodging Association is taking steps to curb the online short-term rental company.","1318","null","The New York Times","Technology","News","article","Inside the Hotel Industry’s Plan to Combat Airbnb","Hotels Make Battle Plans as Airbnb Poses Threat"
"https://www.nytimes.com/2017/04/17/world/europe/french-election-russia.html","Andrew Higgins","2017-04-17","Moscow and its state-run news outlets are churning out fake and slanted reports to bolster favored politicians, just as in the U.S. last year, critics say.","1632","null","The New York Times","World","News","article","It’s France’s Turn to Worry About Election Meddling by Russia","Critics See Signs Of Interference In French Vote"
"https://www.nytimes.com/2017/04/15/technology/mikes-and-nicoles-week-in-tech-uniteds-troubles-and-burger-kings-hack.html","Mike Isaac","2017-04-15","Mike Isaac and Nicole Perlroth discuss the week’s technology news, including Burger King’s latest stunt with Google Home devices.","1263","null","The New York Times","Technology","News","article","Mike and Nicole’s Week in Tech: United’s Troubles and Burger King’s ‘Hack’","null"
"https://www.nytimes.com/2017/04/15/world/asia/north-korea-missiles-pyongyang-kim-jong-un.html","Choe Sang-Hun","2017-04-15","The timing was an embarrassment for Kim Jong-un, because the launch appeared to have been intended to coincide with the approach of a fleet of American warships.","1576","null","The New York Times","World","News","article","North Korean Missile Launch Fails, and a Show of Strength Fizzles","North Korean Missile Test Fails, and a Leader’s Show of Strength Fizzles"
"https://www.nytimes.com/2017/04/16/world/europe/jean-luc-melenchon-france-presidential-election.html","Adam Nossiter","2017-04-16","Jean-Luc Mélenchon’s advisers depict him as a kind of French Bernie Sanders, but with no strong party establishment to block his way.","1071","null","The New York Times","World","News","article","Left-Wing Politician Shakes Up France’s Presidential Race","Rising in Polls, Left-Wing Politician Shakes Up France’s Presidential Race"
"https://www.nytimes.com/2017/04/17/world/europe/turkey-referendum-erdogan.html","Patrick Kingsley","2017-04-17","Voters in major cities tended to oppose the changes expanding presidential power, but those in rural areas, who are often more religious, voted for them.","1208","null","The New York Times","World","News","article","In Supporting Erdogan, Turks Cite Economic and Religious Gains","Voters Cite Turkish Leader’s Record as He Claims a Slim Victory"
"https://www.nytimes.com/2017/04/17/world/middleeast/celebrating-easter-in-an-iraqi-town-that-has-lost-its-christians.html","null","2017-04-17","A Times reporter and her colleagues attended an Easter service in one of the Christian towns near Mosul that has been hit hardest by the Islamic State.","663","null","The New York Times","World","News","article","Celebrating Easter in an Iraqi Town That Has Lost Its Christians","null"
"https://www.nytimes.com/2017/06/29/technology/daily-report-when-ransomware-isnt-after-a-ransom.html","Jim Kerstetter","2017-06-29","The cyberattack that started in Ukraine and went global didn’t seem like an effort focused on making money.","336","null","The New York Times","Technology","News","article","Daily Report: When Ransomware Isn’t After a Ransom","null"
"https://www.nytimes.com/2017/07/23/world/americas/winnipegs-treaty-payments-meager-reminder-of-a-painful-history.html","Dan Levin","2017-07-23","The annual payments — five dollars a person — are an enduring symbol of the complex legal relationship between First Nations and the Canadian government.","972","null","The New York Times","World","News","article","Canada’s Treaty Payments: Meager Reminder of a Painful History","Treaty Payments Are Meager Reminders of a Painful Past"
"https://www.nytimes.com/2017/06/30/world/australia/a-meeting-of-military-might-in-the-pacific-also-tony-abbott-defends-cardinal-pell-again.html","Isabella Kwai","2017-06-30","Conversation starters and context, drawn from the day’s news in Australia.","1002","null","The New York Times","World","News","article","A Meeting of Military Might in the Pacific. Also: Tony Abbott Defends Cardinal Pell (Again).","null"
"https://www.nytimes.com/2017/04/06/world/middleeast/syrian-father-buries-children.html","Megan Specia","2017-04-06","One Syrian man said he lost at least 25 members of his extended family in the chemical attack on Tuesday, including his wife and twins.","244","null","The New York Times","World","News","article","‘I Buried My Own Children’: A Syrian Father’s Grief","null"
"https://www.nytimes.com/2017/04/06/world/middleeast/us-said-to-weigh-military-responses-to-syrian-chemical-attack.html","Michael Gordon","2017-04-06","The strike was in response to the Syrian government’s chemical weapons attack this week.","1548","null","The New York Times","World","News","article","Dozens of U.S. Missiles Hit Air Base in Syria","U.S. Launches Missiles Into Syria"
"https://www.nytimes.com/2017/04/07/business/economy/job-creation-unemployment-trump.html","null","2017-04-07","The showing was the weakest in nearly a year and followed two robust increases. But unemployment fell to 4.5 percent, the lowest in almost a decade.","1172","null","The New York Times","Business Day","News","article","Job Growth Loses Steam as U.S. Adds 98,000 in March","Unemployment Falls, but Feeble Job Growth Tempers Optimism"
"https://www.nytimes.com/2017/04/07/technology/tech-roundup-the-us-blinks-in-standoff-with-twitter.html","Jim Kerstetter","2017-04-07","The company sued after received a summons to disclose the user behind an account critical of President Trump that claimed to have ties to a government agency. A day later the government withdrew the summons.","408","null","The New York Times","Technology","News","article","Tech Roundup: The U.S. Blinks in Standoff With Twitter","null"
