"|","|__writer_name","|__pub_date","|__snippet","|__word_count","|__score","|__source","|__section_name","|__type_of_material","|__document_type","|__main_headline","|__print_headline"
"https://www.nytimes.com/1999/02/27/business/international-briefs-earnings-off-at-hoechst-as-chemical-prices-fall.html","Bloomberg News","1999-02-27","Hoechst AG says fourth-quarter profit fell 25 percent; net income rose to 400 million euros ($441 million) from 79 million euros a year earlier (S)û","97","null","The New York Times","Business Day","News","article","Earnings Off at Hoechst As Chemical Prices Fall","INTERNATIONAL BRIEFS; Earnings Off at Hoechst As Chemical Prices Fall"
"https://www.nytimes.com/1999/10/08/business/the-media-business-advertising-addenda-survey-shows-drop-in-costs-for-tv-ads.html","Stuart Elliott","1999-10-08","American Association of Advertising Agencies' annual survey shows average cost of producing 30-second national television commercial declined 4 percent in 1998, to $295,000, from $308,000 in 1997 (S)","111","null","The New York Times","Business Day","News","article","Survey Shows Drop In Costs for TV Ads","THE MEDIA BUSINESS: ADVERTISING -- ADDENDA; Survey Shows Drop In Costs for TV Ads"
"https://www.nytimes.com/1999/09/07/world/mubarak-attacker-killed.html","null","1999-09-07","","24","null","The New York Times","World","Summary","article","Mubarak Attacker Killed","Mubarak Attacker Killed"
"https://www.nytimes.com/1999/02/22/business/curtis-l-carlson-84-founder-of-trading-stamp-conglomerate.html","Robert Mcg","1999-02-22","Curtis L Carlson, founder of Carlson Companies, dies at age 84; photo (M)","977","null","The New York Times","Business Day","Obituary; Biography","article","Curtis L. Carlson, 84, Founder Of Trading Stamp Conglomerate","Curtis L. Carlson, 84, Founder Of Trading Stamp Conglomerate"
"https://www.nytimes.com/1999/04/09/business/europeans-facing-sluggish-economy-cut-interest-to-2.5.html","null","1999-04-09","","171","null","The New York Times","Business Day","Summary","article","Europeans, Facing Sluggish Economy, Cut Interest to 2.5%","Europeans, Facing Sluggish Economy, Cut Interest to 2.5%"
"https://www.nytimes.com/1999/06/14/business/patents-vegetable-oil-lubricant-biodegradable-said-be-more-efficient-than.html","Sabra Chartrand","1999-06-14","James Lambert and Duane Johnson receive patent for vegetable oil lubricant that is cleaner and more efficient than petroleum-based motor oils; William Hayday and Stephen Bates receive patent for dry-cleaning solvent that is biodegradable and nonto...","754","null","The New York Times","Business Day","News","article","Patents; Vegetable oil lubricant is biodegradable and said to be more efficient than petroleum-based oils.","Patents; Vegetable oil lubricant is biodegradable and said to be more efficient than petroleum-based oils."
"https://www.nytimes.com/1999/04/17/business/pilots-lose-a-battle-not-the-war.html","Laurence Zuckerman","1999-04-17","Analysis of Federal Judge Joe Kendall's order that pilots' union at American Airlines pay carrier nearly $46 million for defying his order to return to work in February after hundreds of pilots called in sick in dispute that forced airline to canc...","1034","null","The New York Times","Business Day","An Analysis; News Analysis","article","Pilots Lose A Battle, Not the War","Pilots Lose A Battle, Not the War"
"https://www.nytimes.com/1999/10/29/world/un-council-shelves-proposal-on-upgrading-iraq-oil-industry.html","Barbara Crossette","1999-10-29","Recommendation by UN Secretary General Kofi Annan that Iraq be allowed to double amount it may spend on upgrading its oil industry is shelved by Security Council, somewhat to the surprise of United States and Britain, which were prepared for spiri...","547","null","The New York Times","World","News","article","U.N. Council Shelves Proposal on Upgrading Iraq Oil Industry","U.N. Council Shelves Proposal on Upgrading Iraq Oil Industry"
"https://www.nytimes.com/1999/07/21/business/world-business-briefing-americas-loan-for-loewen.html","Timothy Pritchard","1999-07-21","Bankruptcy court has approved request by Loewen Group Inc of Canada, one of largest funeral home operators in North America, to draw on $200 million survival loan arranged by First Union National Bank (S)","67","null","The New York Times","Business Day","News","article","LOAN FOR LOEWEN","WORLD BUSINESS BRIEFING: AMERICAS; LOAN FOR LOEWEN"
"https://www.nytimes.com/1999/04/29/business/company-news-becton-dickinson-to-buy-clontech-labs-for-200-million.html","Dow Jones","1999-04-29","Becton Dickinson & Co to acquire Clontech Laboratories Inc for $200 million in stock (S)","91","null","The New York Times","Business Day","News","article","BECTON DICKINSON TO BUY CLONTECH LABS FOR $200 MILLION","COMPANY NEWS; BECTON DICKINSON TO BUY CLONTECH LABS FOR $200 MILLION"
"https://www.nytimes.com/1999/08/18/business/hoping-for-repeat-success-auto-makers-build-a-hybrid.html","Keith Bradsher","1999-08-18","Ford Motor Co, General Motors Corp and Nissan Motor Co say it is time to start building sport utility pickups; companies introduce such vehicles at annual convention in Philadelphia to show dealers offerings for new model year; photo (M)","866","null","The New York Times","Business Day","News","article","Hoping for Repeat Success, Auto Makers Build a Hybrid","Hoping for Repeat Success, Auto Makers Build a Hybrid"
"https://www.nytimes.com/1999/08/20/business/microsoft-discloses-more-flaws-in-software.html","Sara Robinson","1999-08-20","Microsoft Corp acknowledges security holes in recently released Office 2000 computer program and in other programs; company says it has known for several weeks about Office 2000 flaw, which could allow data, software or hardware to be damaged via ...","609","null","The New York Times","Business Day","News","article","Microsoft Discloses More Flaws in Software","Microsoft Discloses More Flaws in Software"
"https://www.nytimes.com/1999/09/14/news/he-criticizes-malaysia-for-jailing-of-canadian-clinton-backs-journalist.html","Thomas Fuller","1999-09-14","","716","null","The New York Times","World","News","article","He Criticizes Malaysia for Jailing of Canadian : Clinton Backs Journalist","He Criticizes Malaysia for Jailing of Canadian : Clinton Backs Journalist"
"https://www.nytimes.com/1999/06/03/technology/state-of-the-art-listening-to-sounds-of-a-wave.html","Joel Brinkley","1999-06-03","State of the Art column by Joel Brinkley appraises Bose Wave Radio, advertised as 'world's best-sounding radio' and costing from $349 and up, far more than cost of average radio; says nearly all radios Americans purchase now are capable of reprodu...","1234","null","The New York Times","Technology","News","article","Listening To Sounds Of a Wave","STATE OF THE ART; Listening To Sounds Of a Wave"
"https://www.nytimes.com/1999/04/13/business/the-media-business-3-newspaper-concerns-post-profits-above-expectations.html","Bloomberg News","1999-04-13","Newspaper publishers benefit as economy continues strong, keeping ad sales strong; Gannett Co, Dow Jones & Co and E W Scripps & Co report better-than-expected profits for first quarter, as advertising revenue grew and newsprint prices fell; Scripp...","582","null","The New York Times","Business Day","News","article","3 Newspaper Concerns Post Profits Above Expectations","THE MEDIA BUSINESS; 3 Newspaper Concerns Post Profits Above Expectations"
"https://www.nytimes.com/1999/06/05/your-money/IHT-assessing-hoechst-rhonepoulenc-and-aventis-a-frenchgerman.html","Conrad De Aenlle","1999-06-05","AVENTIS, THE entity due to be created in November through the merger of Hoechst AG of Germany and the French company Rhone-Poulenc SA, will be a rare creature - a whole that will be greater than the sum of its parts.. That is the contention of man...","4011","null","International Herald Tribune","Your Money","null","article","Assessing Hoechst, Rhone-Poulenc and Aventis : A French-German Union","Assessing Hoechst, Rhone-Poulenc and Aventis : A French-German Union"
"https://www.nytimes.com/1999/04/02/world/crisis-balkans-refugee-drama-refugees-tell-methodical-emptying-pristina.html","John Kifner","1999-04-02","Refugees arriving in Kukes, Albania, describe systematic emptying-out of Pristina, Kosovo's capital city by masked and heavily armed Serb gunmen; describe sudden eviction from homes, forced march through streets to railroad station and soccer stad...","963","null","The New York Times","World","News","article","Refugees Tell of Methodical Emptying of Pristina","CRISIS IN THE BALKANS: THE REFUGEE DRAMA; Refugees Tell of Methodical Emptying of Pristina"
"https://www.nytimes.com/1999/09/05/business/market-insight-facing-2000-companies-stock-up-on-money.html","Kenneth Gilpin","1999-09-05","Kenneth Gilpin Market Insight column offers excerpts of interview with Merrill Lynch & Co managing director Thomas M Likovich, who comments on reasons why increasing number of companies are raising funds through initial public offerings and common...","806","null","The New York Times","Business Day","Interview","article","Facing 2000, Companies Stock Up On Money","MARKET INSIGHT; Facing 2000, Companies Stock Up On Money"
