"|","|__writer_name","|__pub_date","|__snippet","|__word_count","|__score","|__source","|__section_name","|__type_of_material","|__document_type","|__main_headline","|__print_headline"
"https://www.nytimes.com/2013/09/10/business/global/airline-in-norway-says-it-briefly-grounded-dreamliners.html","Nicola Clark","2013-09-09","Norwegian Air Shuttle, a budget airline, said it returned both new Boeing 787 jets to service over the past week.","520","null","The New York Times","Business Day","News","article","Airline in Norway Says It Briefly Grounded Dreamliners","null"
"https://www.nytimes.com/2013/09/10/business/retirementspecial/choices-give-new-meaning-to-home-sweet-home.html","Fran Hawthorne","2013-09-09","Options for the elderly now include continuing care, which provides different levels of assistance in one location, and “villages” of independent households.","1303","null","The New York Times","Business Day","News","article","Choices Give New Meaning to ‘Home, Sweet Home’","Choices Give New Meaning to ‘Home, Sweet Home’"
"https://www.nytimes.com/2013/09/10/business/media/tina-fey-to-host-return-of-saturday-night-live.html","Bill Carter","2013-09-09","NBC on Monday announced the “SNL” guest host lineup for the first three shows of the fall season, including Ms. Fey, one of its biggest stars.","186","null","The New York Times","Business Day","News","article","Tina Fey to Host Return of  ‘Saturday Night Live’","Tina Fey to Host\r\n‘Saturday Night Live’"
"https://www.nytimes.com/2013/09/10/business/media/jimmy-carter-seeks-to-write-book-on-treatment-of-women.html","Julie Bosman","2013-09-09","A proposal has circulated among major publishers for a book written by the former president.","318","null","The New York Times","Business Day","News","article","Jimmy Carter Seeks to Write Book on Treatment of Women","Jimmy Carter Plans\r\nBook on Women"
"https://www.nytimes.com/2013/09/10/world/europe/the-popes-on-the-line-and-everyones-talking.html","Elisabetta Povoledo","2013-09-09","Pope Francis has taken to calling ordinary citizens without warning to offer comfort and support in difficult times.","855","null","The New York Times","World","News","article","The Pope Gets on the Line, and Everyone Is Talking","The Pope Gets on the Line, And Everyone Is Talking"
"https://www.nytimes.com/2013/09/11/business/global/a-housing-slump-in-india.html","Keith Bradsher","2013-09-11","India’s developers are holding on to a growing inventory of unsold apartments because of worries that discounts could cause a market rout.","1481","null","The New York Times","Business Day","News","article","A Housing Slump in India","A Housing Slump in India"
"https://www.nytimes.com/2013/09/10/world/europe/norway-elects-a-conservative-as-its-premier.html","Katrin Bennhold","2013-09-10","Voters ousted the center-left government on Monday, paving the way for the new leader, Erna Solberg, nicknamed “Iron Erna,” to assemble a governing coalition that may include an anti-immigration party.","297","null","The New York Times","World","News","article","Norway Elects a Conservative as Its Premier","Norway Votes Conservatives Into Power"
"https://www.nytimes.com/2013/09/11/world/middleeast/assault-on-christian-town-complicates-crisis-in-syria.html","Anne Barnard","2013-09-10","Maaloula has long symbolized Syria’s history of diversity and coexistence, but most of its residents have fled after fighting between rebels and government forces.","1124","null","The New York Times","World","News","article","Assault on Christian Town in Syria Adds to Fears Over Rebels","Assault on Christian Town in Syria Adds to the Fears Over Rebels"
"https://www.nytimes.com/2013/09/12/technology/personaltech/new-devices-mind-pets-while-owners-are-away.html","Mike Hendricks","2013-09-11","Innovative tools help ease pet owners’ concerns about what their animals are doing while home alone.","1166","null","The New York Times","Technology","News","article","New Devices Mind Pets While Owners Are Away","New Devices Mind Pets While Owners Are Away"
"https://www.nytimes.com/2013/09/10/world/asia/pakistan-takes-step-toward-talks-with-the-taliban.html","Salman Masood","2013-09-09","Pakistan’s political and military leadership agreed to clear the way for peace talks with the Pakistani Taliban, calling it the best strategy to end militant-driven bloodshed.","481","null","The New York Times","World","News","article","Pakistan Takes Step Toward Talks With the Taliban","null"
"https://www.nytimes.com/2013/09/10/technology/guarding-a-luxury-aura.html","Brian Chen","2013-09-10","The addition of a cheaper iPhone could help Apple sell tens of millions more phones, but it could also diminish its reputation as a premium brand.","1053","null","The New York Times","Technology","News","article","Luxury Brands Face Hazards When Testing Lower Costs","Cheaper Symbol, Risky Status"
"https://www.nytimes.com/2013/09/10/business/media/campbell-bets-on-the-wisdom-of-a-child.html","Stuart Elliott","2013-09-09","Campbell’s campaign is meant to remind parents that a bowl of soup is an appealing alternative to fast food and pizza.","934","null","The New York Times","Business Day","News","article","Campbell Bets on the Wisdom of a Child","Campbell Bets on the Wisdom of a Child"
"https://www.nytimes.com/2013/09/10/business/covering-the-runway-from-beyond-new-york.html","Christine Haughney","2013-09-10","Style.com’s global take on New York Fashion Week is part of its plan to build on the fashion-hungry audience it has been drawing to its site this year.","536","null","The New York Times","Business Day","News","article","Covering the Runway From Beyond New York","Covering the Runway From Beyond New York"
"https://www.nytimes.com/2013/09/10/technology/judges-hear-arguments-on-rules-for-internet.html","Edward Wyatt","2013-09-10","In a battle over whether the Web should remain open, judges expressed doubt over a requirement that service providers treat all traffic equally.","770","null","The New York Times","Technology","News","article","Judges Hear Arguments on Rules for Internet","Judges Hear Arguments On Rules For Internet"
"https://www.nytimes.com/2013/09/11/technology/apple-shows-off-2-new-iphones-one-a-lower-cost-model.html","Brian Chen","2013-09-10","The lower-cost model, the iPhone 5C (the “C” for color), comes in a plastic case and has the same features as the now-outdated iPhone 5.","1173","null","The New York Times","Technology","News","article","Apple Unveils Faster iPhone, and a Cheaper One, Too","In Two Latest iPhones,\r\nEither Faster or Cheaper"
"https://www.nytimes.com/2013/09/11/world/middleeast/syrian-chemical-arsenal.html","Mark Landler","2013-09-10","President Obama said he would pursue a “diplomatic path” on the Syria crisis even while making the moral case for punishing the country for its deadly use of chemical weapons.","1495","null","The New York Times","World","News","article","Obama Delays Syria Strike to Focus on a Russian Plan","Obama Delays Syria Strike To Focus on a Russian Plan"
"https://www.nytimes.com/2013/09/11/world/asia/family-of-ex-south-korean-dictator-to-pay-his-fines.html","Choe Sang-Hun","2013-09-10","The children of Chun Doo-hwan said on Tuesday that they would pay 167 billion won, or $154 million, that their father owed after being convicted of treason and taking bribes.","507","null","The New York Times","World","News","article","Family of Former South Korean Dictator to Pay His Fines","Family of Former South Korean Dictator to Pay His Fines"
"https://www.nytimes.com/2013/09/11/world/europe/norways-new-premier-prepares-for-talks-with-anti-immigrant-party.html","Katrin Bennhold","2013-09-10","Anders Behring Breivik, a far-right militant who massacred 77 people in 2011, was once a member of the Progress Party, which is expected to enter government for the first time.","824","null","The New York Times","World","News","article","Norway’s New Premier to Meet Anti-Immigrant Party","Norway’s New Premier to Meet Anti-Immigrant Party"
"https://www.nytimes.com/2013/09/11/world/europe/germany-to-accept-syrian-refugees.html","Nick Cumming-Bruce","2013-09-10","A group of 107 people will be the first of 5,000 refugees seeking resettlement in Germany, the United Nations said.","219","null","The New York Times","World","News","article","Germany to Accept Syrian Refugees","Germany to Accept Syrian Refugees"
"https://www.nytimes.com/2013/10/02/world/americas/to-venezuelans-heir-of-chavez-is-a-poor-copy.html","William Neuman","2013-10-02","Seven months after the election of President Nicolás Maduro, Hugo Chávez’s handpicked heir, inflation and shortages are creating discontent.","1394","null","The New York Times","World","News","article","To Venezuelans, Heir of Chávez Is a Poor Copy","To Venezuelans, Heir of Chávez Is a Poor Copy"
"https://www.nytimes.com/2013/10/02/business/energy-environment/as-stability-eludes-region-western-oil-giants-hesitate.html","Mark Scott","2013-10-01","Problems in North Africa and the Middle East, where some governments owe many energy producers billions of dollars, are imperiling the relations between companies and countries.","1094","null","International Herald Tribune","Business Day","News","article","As Stability Eludes Region, Western Oil Giants Hesitate","As Stability Eludes Region, Western Oil Giants Hesitate"
"https://www.nytimes.com/2013/10/02/business/energy-environment/iceland-aims-to-seize-opportunities-in-oil-exploration.html","Beth Gardiner","2013-10-01","Melting ice is expected to make the Arctic more accessible to drilling, mining and shipping, and Iceland is eager to position itself as a base for some of that activity.","1262","null","International Herald Tribune","Business Day","News","article","Iceland Aims to Seize Opportunities in Oil Exploration","Iceland Aims to Seize Its Opportunity"
"https://www.nytimes.com/2013/10/02/world/middleeast/israel-iran-netanyahu-speech.html","Somini Sengupta","2013-10-01","Prime Minister Benjamin Netanyahu of Israel denounced the new president of Iran, Hassan Rouhani, saying Iran’s actions belied his soothing talk.","912","null","The New York Times","World","News","article","Israeli Leader Excoriates New President of Iran","Netanyahu Excoriates Iran’s Leader and His ‘Charm Offensive’"
"https://www.nytimes.com/2013/10/02/your-money/surviving-spouses-with-reverse-mortgages-win-case.html","Ann Carrns","2013-10-02","Reverse mortgages allow borrowers to tap into the equity in their homes, but check out the fine print before signing for one.","766","null","The New York Times","Your Money","News","article","Surviving Spouses With Reverse Mortgages Win Case","Surviving Spouses With Reverse Mortgages Win Case"
"https://www.nytimes.com/2013/10/02/business/media/hollywood-advancing-clinton-film.html","Michael Cieply","2013-10-02","Though CNN and NBC both scrapped plans to produce projects about Hillary Rodham Clinton, “Rodham,” a feature film about Mrs. Clinton’s years as a young lawyer, is moving ahead.","899","null","The New York Times","Business Day","News","article","Hollywood Advancing Clinton Film","Hollywood Advancing Clinton Film"
"https://www.nytimes.com/2013/10/02/world/europe/pope-assails-bureaucracy-of-church-as-insular.html","Laurie Goodstein","2013-10-02","In his second revealing interview in two weeks, Pope Francis called the Roman Catholic Church overly clerical and insular, interested in temporal power and often led by “narcissists.”","719","null","The New York Times","World","News","article","Pope Assails Bureaucracy of Church as Insular","Pope Assails Bureaucracy Of Church As Insular"
"https://www.nytimes.com/2013/10/03/world/asia/former-prime-minister-declares-opposition-to-nuclear-power-in-japan.html","Martin Fackler","2013-10-02","In an abrupt shift, former Prime Minister Junichiro Koizumi said the Fukushima disaster convinced him that the country needed other energy sources.","533","null","The New York Times","World","News","article","Former Japanese Leader Declares Opposition to Nuclear Power","Reversal in Japan on Atomic Power"
"https://www.nytimes.com/2013/10/03/world/europe/italy-politics-coalition-government-enrico-letta-silvio-berlusconi.html","Jim Yardley","2013-10-02","Former Prime Minister Silvio Berlusconi’s attempt to resuscitate his endangered political career by bringing down the government instead provoked a rebellion in his own party.","1181","null","The New York Times","World","News","article","Mutiny Halts Italian Gambit by Berlusconi","Mutiny Halts Italian Gambit By Berlusconi"
"https://www.nytimes.com/2013/10/03/world/europe/golden-dawn-greece.html","Liz Alderman","2013-10-02","Efforts to “eradicate” the Golden Dawn party have raised questions about legality and concerns about drawing sympathy for the neo-fascist group.","1069","null","The New York Times","World","News","article","Case Against Greek Far-Right Party Draws Critics","Case Against Greek Far-Right Party Draws Critics"
"https://www.nytimes.com/2013/09/07/world/europe/dutch-peacekeepers-are-found-responsible-for-deaths.html","Marlise Simons","2013-09-07","A Dutch Supreme Court decision related to a 1995 Bosnian War massacre could affect the willingness of nations to supply troops for future United Nations missions.","694","null","The New York Times","World","News","article","Dutch Peacekeepers Are Found Responsible for Deaths","Dutch Peacekeepers Are Found Responsible for Deaths"
"https://www.nytimes.com/2013/09/08/business/global/greek-prime-minister-says-positive-economic-data-points-to-austerity-easing.html","Niki Kitsantonis","2013-09-07","Prime Minister Antonis Samaras said the Greek economy had the smallest contraction since 2010 and the improvement was largely due to a strong rebound in tourism.","958","null","The New York Times","Business Day","News","article","Greek Prime Minister Says Positive Economic Data Points to Austerity Easing","Greek Prime Minister Says Positive Economic Data Points to Austerity Easing"
"https://www.nytimes.com/2013/09/08/world/asia/china-looks-west-as-it-strengthens-regional-ties.html","Jane Perlez","2013-09-07","President Xi Jinping of China referred to Kazakhstan as an increasingly important energy supplier for China and an anchor for its new “marching westwards” policy.","813","null","The New York Times","World","News","article","China Looks West as It Bolsters Regional Ties","China Looks Westward As It Bolsters Regional Ties"
