"|","|__writer_name","|__pub_date","|__snippet","|__word_count","|__score","|__source","|__section_name","|__type_of_material","|__document_type","|__main_headline","|__print_headline"
"https://www.nytimes.com/2015/12/15/business/dealbook/hudsons-bay-is-said-to-consider-buying-gilt-for-250-million.html","Michael de la Merced","2015-12-15","The fashion flash-sale website may sell itself at a price much lower than the valuation it fetched in years past, a person briefed on the matter said.","594","null","The New York Times","Business Day","News","article","Hudson’s Bay Is Said to Consider Buying Gilt Groupe for $250 Million","Hudson’s Bay Said to Consider Buying Gilt for $250 Million"
"https://www.nytimes.com/2015/04/11/business/dealbook/ge-is-finally-exorcising-financial-demons-from-jack-welch-era.html","Rob Cox","2015-04-10","Mr. Welch’s successor, Jeffrey R. Immelt, is now getting out of the banking business and returning G.E. to its industrial roots.","580","null","The New York Times","Business Day","News","article","G.E. Is Finally Exorcising Financial Demons From Jack Welch Era","null"
"https://www.nytimes.com/2015/09/13/business/at-wework-an-idealistic-startup-clashes-with-its-cleaners.html","David Gelles","2015-09-10","To its chagrin, the office-space rental firm, with a $10 billion valuation, is accused of callous, anti-labor behavior toward cleaning workers.","2899","null","The New York Times","Business Day","News","article","At WeWork, an Idealistic Start-Up Clashes With Its Cleaners","Swept Out of Paradise"
"https://www.nytimes.com/2015/11/09/business/media/recreating-a-captives-surroundings-by-filming-room-in-a-box.html","Michael Cieply","2015-11-09","About 70 crew members worked for 22 days in and around a space that was no more than 150 square feet for the movie adaptation of the novel “Room.”","480","null","The New York Times","Business Day","News","article","Recreating a Captive’s Surroundings by Filming ‘Room’ in a Box","Filming in a Box for Authenticity"
"https://www.nytimes.com/2015/04/07/business/weinstein-company-is-said-to-be-set-to-sell-tv-unit-to-itv-studios.html","Michael Cieply","2015-04-07","A $950 million deal would allow Bob and Harvey Weinstein to retain control, according to people briefed on the possible sale.","391","null","The New York Times","Business Day","News","article","Weinstein Company Is Said to Be Set to Sell TV Unit to ITV Studios","Weinstein Co. Is Said to Be Set to Sell TV Unit to ITV Studios"
"https://www.nytimes.com/2015/07/23/business/dealbook/anthem-said-to-be-close-to-deal-to-buy-cigna-for-48-billion.html","Michael de la Merced","2015-07-23","Should the insurers reach a deal, it would be the latest sign of consolidation in the industry, coming after Aetna agreed to buy Humana for $37 billion.","378","null","The New York Times","Business Day","News","article","Anthem Said to Be Close to Deal to Buy Cigna for $48 Billion","Anthem Said to Be Nearing Deal to Buy Cigna for $48 Billion"
"https://www.nytimes.com/2015/10/14/business/wework-ends-combative-dispute-with-former-janitorial-workers.html","David Gelles","2015-10-13","The start-up, which offers temporary office space with perks, said it would now use unionized contractors to provide janitorial services for its locations in New York and Boston.","697","null","The New York Times","Business Day","News","article","WeWork Ends Combative Dispute With Former Janitorial Workers","WeWork Ends Dispute With Janitorial Workers"
"https://www.nytimes.com/2015/01/28/technology/yahoo-earnings-alibaba-spinoff.html","Vindu Goel","2015-01-27","Shedding its 15 percent stake in the Chinese e-commerce site turns the spotlight to Yahoo’s plans to revamp its core Internet advertising business.","993","null","The New York Times","Technology","News","article","Yahoo to Spin Off Its Stake in Alibaba","Yahoo to Spin Off Its Stake in Alibaba"
"https://www.nytimes.com/2015/11/10/business/campbell-rethinks-its-recipe-as-consumer-tastes-change.html","Stephanie Strom","2015-11-09","Hoping to bolster sales, Campbell Soup is updating its classic chicken noodle soup, as well as the way it does business.","1511","null","The New York Times","Business Day","News","article","Campbell Rethinks Its Soup Recipe as Consumer Tastes Change","Back to the Kitchen"
"https://www.nytimes.com/2015/02/09/business/with-new-chief-american-apparel-shifts-focus.html","Hiroko Tabuchi","2015-02-09","Ms. Schneider is transforming a “wild, wild West” culture to one of discipline, while working to maintain a customer base that is “a little rebel.”","1296","null","The New York Times","Business Day","News","article","With Paula Schneider as New Chief, American Apparel Shifts Focus","With New Chief, American Apparel Shifts Focus"
